SessionID,Round,TimeStamp,PosX,PosY,PosZ,RotX,RotY,RotZ,RotW,VelocityX,VelocityY,VelocityZ,
8037508,0,3.720171,340.6903,0.0547089,399.8448,-0.001706432,0.6859416,0.001791418,0.7276524,-0.001706432,0.6859416,0.001791418,
8037508,0,3.820552,341.6054,0.05500219,399.8922,-0.001620635,0.6863494,0.001543619,0.7272685,-0.001620635,0.6863494,0.001543619,
8037508,0,3.920884,342.5691,0.05487574,399.9453,-0.001624341,0.6859984,0.001537971,0.7275997,-0.001624341,0.6859984,0.001537971,
8037508,0,4.005383,343.5802,0.05464036,400,-0.001684267,0.6862182,0.001522638,0.7273923,-0.001684267,0.6862182,0.001522638,
8037508,0,4.106623,344.6367,0.05447845,400.0193,-0.001869117,0.6940899,0.001339771,0.7198846,-0.001869117,0.6940899,0.001339771,
8037508,0,4.207359,345.7333,0.0543477,399.9655,-0.001829341,0.7120789,0.001386374,0.7020957,-0.001829341,0.7120789,0.001386374,
8037508,0,4.307889,346.8773,0.0541677,399.8658,-0.001468475,0.728164,0.001665667,0.6853994,-0.001468475,0.728164,0.001665667,
8037508,0,4.408374,348.0746,0.05394083,399.7542,-0.00137341,0.7360753,0.001731276,0.676896,-0.00137341,0.7360753,0.001731276,
8037508,0,4.509746,349.3143,0.05379009,399.6342,-0.001486605,0.7404579,0.001673505,0.6720991,-0.001486605,0.7404579,0.001673505,
8037508,0,4.610132,350.5971,0.05365502,399.5037,-0.001500143,0.7430623,0.001645841,0.6692187,-0.001500143,0.7430623,0.001645841,
8037508,0,4.711136,351.9246,0.05348158,399.363,-0.001477661,0.744608,0.001636028,0.6674984,-0.001477661,0.744608,0.001636028,
8037508,0,4.811422,353.2985,0.05330247,399.213,-0.001466176,0.7454599,0.001626402,0.666547,-0.001466176,0.7454599,0.001626402,
8037508,0,4.912477,354.7206,0.05312669,399.0548,-0.001456531,0.7458145,0.001617722,0.6661502,-0.001456531,0.7458145,0.001617722,
8037508,0,5.013669,356.1923,0.0529446,398.8897,-0.00144616,0.745791,0.001610182,0.6661766,-0.00144616,0.745791,0.001610182,
8037508,0,5.113937,357.7137,0.05276101,398.7188,-0.001439553,0.745514,0.001606077,0.6664866,-0.001439553,0.745514,0.001606077,
8037508,0,5.21508,359.2845,0.05258179,398.5433,-0.001434396,0.7450781,0.001602158,0.6669737,-0.001434396,0.7450781,0.001602158,
8037508,0,5.315742,360.9044,0.05240431,398.364,-0.00142925,0.7445422,0.001597144,0.667572,-0.00142925,0.7445422,0.001597144,
8037508,0,5.415754,362.5729,0.0522277,398.1815,-0.0014245,0.7439432,0.001591653,0.6682395,-0.0014245,0.7439432,0.001591653,
8037508,0,5.516184,364.2897,0.05205277,397.9966,-0.001420251,0.7433051,0.00158599,0.6689491,-0.001420251,0.7433051,0.00158599,
8037508,0,5.616736,366.0543,0.05187962,397.8095,-0.00141633,0.7426438,0.001580164,0.6696833,-0.00141633,0.7426438,0.001580164,
8037508,0,5.717669,367.8664,0.05170805,397.6207,-0.001412663,0.7419695,0.001574196,0.6704304,-0.001412663,0.7419695,0.001574196,
8037508,0,5.818709,369.7255,0.05153804,397.4306,-0.001409168,0.7412896,0.001568154,0.6711821,-0.001409168,0.7412896,0.001568154,
8037508,0,5.920265,371.6311,0.05136969,397.2394,-0.001405769,0.7406089,0.001562037,0.6719331,-0.001405769,0.7406089,0.001562037,
8037508,0,6.021715,373.583,0.05120282,397.0475,-0.001402512,0.7399313,0.001555949,0.6726792,-0.001402512,0.7399313,0.001555949,
8037508,0,6.105056,375.5807,0.0510375,396.8549,-0.001399344,0.7392595,0.001549833,0.6734174,-0.001399344,0.7392595,0.001549833,
8037508,0,6.205939,377.6237,0.05087369,396.662,-0.001396191,0.738597,0.001543738,0.674144,-0.001396191,0.738597,0.001543738,
8037508,0,6.30705,379.7118,0.0507113,396.4688,-0.00139309,0.7379472,0.001537636,0.6748553,-0.00139309,0.7379472,0.001537636,
8037508,0,6.408117,381.8445,0.05055037,396.2757,-0.001389995,0.7373143,0.001531579,0.6755468,-0.001389995,0.7373143,0.001531579,
8037508,0,6.509772,384.0214,0.05039082,396.0825,-0.001386878,0.7367028,0.001525536,0.6762136,-0.001386878,0.7367028,0.001525536,
8037508,0,6.610983,386.2421,0.05023263,395.8894,-0.001383789,0.7361177,0.001519494,0.6768506,-0.001383789,0.7361177,0.001519494,
8037508,0,6.711434,388.5063,0.05007572,395.6965,-0.001380685,0.7355644,0.001513511,0.6774517,-0.001380685,0.7355644,0.001513511,
8037508,0,6.812551,390.8136,0.04991994,395.5037,-0.001377542,0.7350494,0.001507543,0.6780106,-0.001377542,0.7350494,0.001507543,
8037508,0,6.912795,393.1611,0.04976716,395.2917,-0.001536777,0.7381241,0.001362838,0.6746619,-0.001536777,0.7381241,0.001362838,
