lucasgm,1056215,0,position,0.05013996,332.0081,0.1409424,398.5106,-0.02227839,0.6313779,0.0181511,0.7749426,-0.02227839,0.6313779,0.0181511
lucasgm,1056215,0,position,0.1506277,331.9748,0.1409439,398.5038,-0.02227757,0.6313779,0.01815041,0.7749427,-0.02227757,0.6313779,0.01815041
lucasgm,1056215,0,position,0.2531624,331.9496,0.1409525,398.4986,-0.02225389,0.631328,0.01812287,0.7749847,-0.02225389,0.631328,0.01812287
lucasgm,1056215,0,position,0.3561835,331.9497,0.140997,398.4986,-0.02219317,0.6314621,0.01809849,0.7748778,-0.02219317,0.6314621,0.01809849
lucasgm,1056215,0,position,0.4586013,331.9921,0.1409371,398.5073,-0.02215644,0.631383,0.01805712,0.7749442,-0.02215644,0.631383,0.01805712
lucasgm,1056215,0,position,0.5597339,332.091,0.1407,398.5277,-0.022117,0.6313474,0.01801416,0.7749754,-0.022117,0.6313474,0.01801416
lucasgm,1056215,0,position,0.6613637,332.2459,0.1404468,398.5597,-0.02211464,0.6313408,0.01801362,0.7749808,-0.02211464,0.6313408,0.01801362
lucasgm,1056215,0,position,0.762368,332.4602,0.1402299,398.6037,-0.02210668,0.631395,0.01800257,0.7749372,-0.02210668,0.631395,0.01800257
lucasgm,1056215,0,position,0.8469517,332.7389,0.1400006,398.6516,-0.02213375,0.6336221,0.01794663,0.7731178,-0.02213375,0.6336221,0.01794663
lucasgm,1056215,0,position,0.947457,333.0822,0.1397707,398.6857,-0.02207926,0.6413851,0.01804795,0.7666888,-0.02207926,0.6413851,0.01804795
lucasgm,1056215,0,position,1.049764,333.4851,0.1332267,398.7159,-0.02240988,0.6513084,0.01468451,0.7583399,-0.02240988,0.6513084,0.01468451
lucasgm,1056215,0,position,1.1508,333.9271,0.09122245,398.7513,-0.01450888,0.6599518,0.004086114,0.7511568,-0.01450888,0.6599518,0.004086114
lucasgm,1056215,0,position,1.251522,334.416,0.06577344,398.796,0.02648153,0.663409,0.003567845,0.7477798,0.02648153,0.663409,0.003567845
lucasgm,1056215,0,position,1.352518,334.9753,0.1477353,398.8611,0.03256185,0.6639241,-0.0274476,0.7465864,0.03256185,0.6639241,-0.0274476
